,WND,SUN,WAT,OIL,NG,COL,NUC,OTH,avg_CI
2022-01-01 00:00:00+00:00,107.0,12.0,11510.0,0,954.0,0,1158.0,210.0,57.885814636943586
2022-01-01 01:00:00+00:00,94.0,1.0,12056.0,0,954.0,0,1159.0,212.0,56.68326885880077
2022-01-01 02:00:00+00:00,63.0,0.0,12506.0,0,957.0,0,1162.0,210.0,55.84716069271043
2022-01-01 03:00:00+00:00,91.0,0.0,12630.0,0,957.0,0,1167.0,195.0,55.312832446808514
2022-01-01 04:00:00+00:00,53.0,0.0,12291.0,0,958.0,0,1165.0,191.0,56.13978714695047
2022-01-01 05:00:00+00:00,115.0,0.0,11980.0,0,959.0,0,1165.0,191.0,56.669326856349755
2022-01-01 06:00:00+00:00,95.0,0.0,11706.0,0,958.0,0,1166.0,188.0,57.29759795932828
2022-01-01 07:00:00+00:00,53.0,0.0,11845.0,0,937.0,0,1165.0,179.0,56.36102687072431
2022-01-01 08:00:00+00:00,23.0,0.0,10767.0,0,936.0,0,1165.0,176.0,59.061835157266394
2022-01-01 09:00:00+00:00,4.0,0.0,11115.0,0,829.0,0,1167.0,176.0,54.73613723572342
2022-01-01 10:00:00+00:00,1.0,0.0,11188.0,0,777.0,0,1167.0,178.0,52.90338817519345
2022-01-01 11:00:00+00:00,0.0,0.0,11129.0,0,776.0,0,1167.0,170.0,52.89533303126416
2022-01-01 12:00:00+00:00,0.0,0.0,11145.0,0,778.0,0,1169.0,168.0,52.89351432880844
2022-01-01 13:00:00+00:00,1.0,0.0,11473.0,0,778.0,0,1170.0,163.0,52.124622745675374
2022-01-01 14:00:00+00:00,18.0,0.0,11952.0,0,776.0,0,1167.0,165.0,51.08964341525785
2022-01-01 15:00:00+00:00,19.0,0.0,12355.0,0,798.0,0,1163.0,167.0,51.03537443111295
2022-01-01 16:00:00+00:00,11.0,1.0,12495.0,0,796.0,0,1160.0,166.0,50.73361131998086
2022-01-01 17:00:00+00:00,37.0,7.0,12640.0,0,817.0,0,1163.0,144.0,50.746893571042676
2022-01-01 18:00:00+00:00,25.0,25.0,12531.0,0,816.0,0,1162.0,134.0,50.816579323487375
2022-01-01 19:00:00+00:00,19.0,33.0,12352.0,0,777.0,0,1163.0,142.0,50.07289797045423
2022-01-01 20:00:00+00:00,34.0,33.0,11883.0,0,777.0,0,1164.0,164.0,51.180149413020274
2022-01-01 21:00:00+00:00,54.0,32.0,11430.0,0,777.0,0,1161.0,163.0,52.021590658735406
2022-01-01 22:00:00+00:00,77.0,34.0,11072.0,0,773.0,0,1164.0,133.0,52.1615483286803
2022-01-01 23:00:00+00:00,51.0,37.0,11269.0,0,601.0,0,1164.0,133.0,46.13972086005281
2022-01-02 00:00:00+00:00,37.0,17.0,11833.0,0,545.0,0,1165.0,139.0,43.54222481071636
2022-01-02 01:00:00+00:00,27.0,3.0,13084.0,0,545.0,0,1165.0,150.0,42.07065580339255
2022-01-02 02:00:00+00:00,15.0,0.0,13508.0,0,544.0,0,1164.0,149.0,41.5575422626788
2022-01-02 03:00:00+00:00,10.0,0.0,13630.0,0,544.0,0,1162.0,156.0,41.51812669332989
2022-01-02 04:00:00+00:00,6.0,0.0,13352.0,0,547.0,0,1161.0,163.0,42.022851139273754
2022-01-02 05:00:00+00:00,7.0,0.0,12869.0,0,545.0,0,1165.0,182.0,42.78324756229686
2022-01-02 06:00:00+00:00,8.0,0.0,12138.0,0,544.0,0,1165.0,182.0,43.72729215644368
2022-01-02 07:00:00+00:00,14.0,0.0,11362.0,0,544.0,0,1165.0,179.0,44.824487334137515
2022-01-02 08:00:00+00:00,10.0,0.0,10987.0,0,543.0,0,1165.0,175.0,45.34922360248447
2022-01-02 09:00:00+00:00,13.0,0.0,10937.0,0,544.0,0,1165.0,174.0,45.444634925582484
2022-01-02 10:00:00+00:00,14.0,0.0,10840.0,0,544.0,0,1165.0,171.0,45.56180304696089
2022-01-02 11:00:00+00:00,12.0,0.0,10679.0,0,544.0,0,1162.0,166.0,45.778237682082306
2022-01-02 12:00:00+00:00,7.0,0.0,10683.0,0,542.0,0,1163.0,167.0,45.72639707053017
2022-01-02 13:00:00+00:00,9.0,0.0,10898.0,0,544.0,0,1165.0,164.0,45.3764475743349
2022-01-02 14:00:00+00:00,16.0,0.0,11316.0,0,544.0,0,1166.0,165.0,44.693117286287574
2022-01-02 15:00:00+00:00,18.0,0.0,11859.0,0,543.0,0,1166.0,162.0,43.798079720686644
2022-01-02 16:00:00+00:00,26.0,0.0,11944.0,0,542.0,0,1166.0,162.0,43.62528901734104
